Time,PBattery,PBaseline,PPv,SOC_opt,price
"2012-07-11 00:00:00",9.42603613287377,463.002566679267,-0,0.510016673817631,0.2139
"2012-07-11 00:15:00",9.40868580614171,465.06656052275,-0,0.519997637490646,0.2139
"2012-07-11 00:30:00",9.39171373303698,486.06856052322,-0,0.529942691331204,0.2139
"2012-07-11 00:45:00",9.37489467665625,481.26882718945,-0,0.539851861510494,0.2139
"2012-07-11 01:00:00",9.35827129108429,484.701526189466,-0,0.549724886743143,0.2139
"2012-07-11 01:15:00",9.34180607437879,476.508309022807,-0,0.559561503985761,0.2139
"2012-07-11 01:30:00",9.32557969912337,469.933826849387,-0,0.569361360909592,0.2139
"2012-07-11 01:45:00",9.30951090904947,443.394883964854,-0,0.579124139213963,0.2139
"2012-07-11 02:00:00",9.29363532036429,443.69854136586,-0,0.588849380185909,0.2139
"2012-07-11 02:15:00",9.27804095175789,453.287341366362,-0,0.598536606054335,0.2139
"2012-07-11 02:30:00",9.2625308596609,420.141956533485,-0,0.608185371508741,0.2139
"2012-07-11 02:45:00",9.24714176831434,444.272723200761,-0,0.61779496066055,0.2139
"2012-07-11 03:00:00",9.23190140589166,449.127472701385,-0,0.627364630119297,0.2139
"2012-07-11 03:15:00",9.21679865494647,438.276906035185,-0,0.636893595067333,0.2139
"2012-07-11 03:30:00",9.20200610999823,435.250022203254,-0,0.64638098405829,0.2139
"2012-07-11 03:45:00",9.1873053924785,436.489587870784,-0,0.655826024300402,0.2139
"2012-07-11 04:00:00",9.17279915392118,432.067087872187,-0,0.665227630212119,0.2139
"2012-07-11 04:15:00",9.15844632549367,414.526354539874,-0,0.674584730894242,0.2139
"2012-07-11 04:30:00",9.14428630060722,407.00432879205,-0,0.683896114603445,0.2139
"2012-07-11 04:45:00",9.13025123060035,393.734728794558,-0,0.693160504232766,0.2139
"2012-07-11 05:00:00",9.11639193810408,375.369195457662,-0,0.702376439606424,0.2139
"2012-07-11 05:15:00",9.10268783521737,368.590727803202,-0,0.711542389980891,0.2139
"2012-07-11 05:30:00",9.08915558997973,371.858478309575,-0,0.720656671353,0.2139
"2012-07-11 05:45:00",9.07571084461973,384.596927821182,-1.348666666746,0.729717473465217,0.2139
"2012-07-11 06:00:00",9.0624326368186,385.231991722874,-5.58506666746,0.738722746893373,0.2139
"2012-07-11 06:15:00",9.04936177874573,382.023599442537,-14.83533333254,0.74767035407625,0.2139
"2012-07-11 06:30:00",9.03645209870137,388.028659342971,-12.64573333254,0.756558015230743,0.2139
"2012-07-11 06:45:00",9.02361668650036,396.224302139408,-9.3296,0.765383206061717,0.2139
"2012-07-11 07:00:00",9.01094398273509,397.413355695289,-23.38746666746,0.774143101904217,0.2139
"2012-07-11 07:15:00",8.99841817899381,379.990811843464,-35.8745333254,0.782834730717212,0.2139
"2012-07-11 07:30:00",8.98610808671566,389.60067166553,-48.6630666746,0.791454849087667,0.2139
"2012-07-11 07:45:00",-34.3143545841419,372.172221291849,-21.5152,0.799999999994689,0.2139
"2012-07-11 08:00:00",-34.7114861573214,369.776245925294,-32.6536,0.767813304126121,0.9297
"2012-07-11 08:15:00",-35.1468561752644,376.111583621284,-67.5761333254,0.734652863676628,0.9297
"2012-07-11 08:30:00",-35.6118338563304,380.051113964547,-65.8149333254,0.700631276220669,0.9297
"2012-07-11 08:45:00",-36.1012912046887,380.368519240132,-97.4054666746,0.665834447155754,0.9297
"2012-07-11 09:00:00",-36.6116292187985,403.852403738618,-113.5577333254,0.630327846724201,0.9297
"2012-07-11 09:15:00",-37.1409269640019,396.587402113683,-121.0309333254,0.594161511044756,0.9297
"2012-07-11 09:30:00",-37.6881944498177,381.228419424336,-138.1828,0.557372875283308,0.9297
"2012-07-11 09:45:00",-38.2530690834278,394.342342325602,-147.1316,0.519988967030009,0.9297
"2012-07-11 10:00:00",-38.8358885598176,388.23889931424,-167.5044,0.482027966342557,0.9297
"2012-07-11 10:15:00",-39.4377818911367,409.221464977007,-155.726375,0.443500046235371,0.9297
"2012-07-11 10:30:00",-40.0604386629243,419.737954703578,-166.0764,0.404407655425896,0.9297
"2012-07-11 10:45:00",-40.7063464511214,416.523812903256,-137.5005333254,0.364745658802116,0.9297
"2012-07-11 11:00:00",-41.3790590179707,425.135904617929,-194.9484444418,0.324500964121155,0.9297
"2012-07-11 11:15:00",-42.0831786093697,441.112885698805,-158.7618666746,0.283651648852714,0.9297
"2012-07-11 11:30:00",-42.8248740260233,455.284742212583,-130.5985333254,0.242165862981459,0.9297
"2012-07-11 11:45:00",49.6469502066008,442.550847889964,-155.3188,0.200000000015555,0.9297
"2012-07-11 12:00:00",36.4832219661386,450.958171465343,-154.9538666746,0.26249999977412,0.5318
"2012-07-11 12:15:00",32.6266274391507,451.476686056616,-55.8506666746,0.30551591897217,0.5318
"2012-07-11 12:30:00",30.6510443437045,469.642580713164,-148.4802666746,0.34313561514413,0.5318
"2012-07-11 12:45:00",29.3002456081293,473.917666665112,-223.1012,0.377981426530714,0.5318
"2012-07-11 13:00:00",28.2724767355981,492.793501228854,-106.8144,0.410922702236026,0.5318
"2012-07-11 13:15:00",27.4428117610134,487.772841889252,-162.792,0.442406448541457,0.5318
"2012-07-11 13:30:00",26.7477146735739,484.398462579304,-220.864,0.472704071269875,0.5318
"2012-07-11 13:45:00",26.1498495892327,486.02686333638,-215.7866666746,0.501996838569227,0.5318
"2012-07-11 14:00:00",25.6256161366441,431.537142949816,-195.7153333254,0.53041250070727,0.5318
"2012-07-11 14:15:00",25.1590993673332,423.475471494728,-136.0408,0.55804435748933,0.5318
